# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 13:32:45 UTC 2021 [seed=1613482363722]
# bears_aligned_ccs.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
62000	-30338.251025774975	-77.79512031369887	-30260.455905461276	1495045.891767869	1495045.891767869	4406709.622735752	1312568.1391334662	42.443981500835065	0.31246339141258794	0.25347317217018206	0.14862957732755916	0.28543385908967056	0.16213911501174977	2.3753718719755942E-8	2.3753718719755945E-8	-30260.455905461276	0.0	-74.31122057725264
63000	-30329.82222596007	-78.52548045810369	-30251.296745501964	1136644.0615567465	1136644.0615567465	3493869.812474563	1413552.040323289	57.219943781424924	0.3140665163420063	0.2511644898327779	0.15211725628407904	0.2826517375411365	0.19762067214318385	2.930555195069114E-8	2.9305551950691142E-8	-30251.296745501964	0.0	-73.8250380960863
64000	-30331.557162409605	-78.29776712412684	-30253.259395285477	1264930.707250461	1264930.707250461	3895919.7259561857	531478.1080114121	50.50702971131292	0.31581161625724674	0.25037934133757844	0.15115730486403803	0.2826517375411365	0.2366675570097912	2.7297392596383486E-8	2.7297392596383483E-8	-30253.259395285477	0.0	-74.94657353864417
65000	-30332.999084159463	-77.53503478385156	-30255.464049375612	1197215.4350020867	1197215.4350020867	3645441.3606667304	606336.7975797819	50.50702971131292	0.31581161625724674	0.2519603563365928	0.14957628986502366	0.2826517375411365	0.3296326668760462	2.7577425256217116E-8	2.757742525621712E-8	-30255.464049375612	0.0	-73.83362461646104
66000	-30328.482059452024	-77.99634122925005	-30250.485718222775	1260083.0198874897	1260083.0198874897	3831621.607995363	695758.168597302	61.77879945877154	0.31183487342074634	0.2519603563365928	0.15124867577566883	0.2849560944669917	0.17933018953723315	2.7244014148347425E-8	2.7244014148347428E-8	-30250.485718222775	0.0	-73.89392820767988
67000	-30329.405674348225	-77.88956639708346	-30251.51610795114	1233930.3952563028	1233930.3952563028	3733299.300317372	1116923.887027557	56.008497301790385	0.31288572142116083	0.2528907260058668	0.14928707113897416	0.28493648143399786	0.13509244986296978	2.922308174617624E-8	2.922308174617624E-8	-30251.51610795114	0.0	-73.64053051161375
68000	-30329.886244976482	-77.63578453548821	-30252.250460440995	1143072.7523668287	1143072.7523668287	3500348.056030962	956174.6555550696	58.03094410793	0.3129008306310365	0.2528907260058668	0.152502970723466	0.28170547263963036	0.2130501071981103	2.9575945777750753E-8	2.9575945777750753E-8	-30252.250460440995	0.0	-73.24901982763541
69000	-30328.115574290594	-77.5889304151132	-30250.52664387548	1148044.8315113217	1148044.8315113217	3502195.265094524	731176.0400251487	62.510690469857195	0.3129008306310365	0.25310126105892516	0.1525854935750295	0.2814124147350085	0.19336915277244787	2.900946713574943E-8	2.9009467135749433E-8	-30250.52664387548	0.0	-73.29987049488616
70000	-30330.986403981267	-78.7575416119165	-30252.22886236935	1438534.925331071	1438534.925331071	4319524.324577373	704681.4561319797	63.74136222825452	0.3112710797673233	0.25310126105892516	0.1525854935750295	0.2830421655987217	0.19435144268172797	2.4333165485579855E-8	2.4333165485579858E-8	-30252.22886236935	0.0	-74.63394436085704
71000	-30331.276810596293	-78.23660057186764	-30253.040210024425	1236045.6952555387	1236045.6952555387	3727137.16114097	1200453.1345698922	54.85030245645315	0.3132854477466576	0.25310126105892516	0.1525854935750295	0.2810277976193874	0.2724429713076887	2.7959946828122288E-8	2.7959946828122288E-8	-30253.040210024425	0.0	-73.72811465907596
